"actual_user_id","anon_user_id"
"tomo","Stu_4ae0ba339faed21609e388896a3ca39a"
"poliveira","Stu_f97933abf3c8e2617d42c7ef55913586"
"cmutest","Stu_df9db6ab5211827d99936a101a595113"
"dreamic","Stu_ad3644e04bb6c4380286ec229aa48df1"
"greenalpaca","Stu_08d66b3d398409412db22b6d514aa6da"
"greenant","Stu_283ef3d7bc762230b40c737f30751bac"
"greenbat","Stu_7cadba7b4bcb0ecae98fd43325b9423c"
"greenbear","Stu_99f0301a9f9853f5839a64ec78a6f2e3"
"greenbird","Stu_bec5f1261cf3fdd33463d18efaa1c5e7"
"greenbison","Stu_748954b6547335881dd47f332ed7fb32"
"greencat","Stu_bdaeb2a656daff0549fb989de069fe65"
"greendeer","Stu_fb2eeaba8564e77a442d9b0a2cadf55f"
"greendog","Stu_83a64d3c071f48b442050f2f07c809a1"
"greenduck","Stu_35264f9486d139717d2583ddba2fd107"
"greenfish","Stu_14053def54d0fd78ad49613e7bca6e70"
"greenfox","Stu_cbb454e348ebe86b6cc379ddff5562db"
"greengoose","Stu_dba309024b7f39dc7d631c1a359ca2de"
"greenhorse","Stu_b12b97c3d44eb34d6f34f344d5aa811a"
"greenkoala","Stu_8fcc41fa37779f10e9163fa3e91458d5"
"greenlion","Stu_607b2c5ecd0c0e7e76fd33f4d16880ea"
"greenmonkey","Stu_2f6ecc2eff78a84bfcb2f98b1ef0ae31"
"greenmouse","Stu_245462ecdc95e9741ca6f7fd229fad5d"
"greenotter","Stu_033eed4283afcc99a64251fc5388d824"
"greenowl","Stu_9263f2963e9315d13782475826c4d055"
"orangealpaca","Stu_03cac10de8d282be297f7b1550ef153d"
"orangeant","Stu_f26cce9771290ce8b87a3a448d64cfc5"
"orangebat","Stu_0970273addcc362e28e73fd97b203527"
"orangebear","Stu_21faa7fce14fa69f7683c1c9371e5456"
"orangebee","Stu_a4dbe64b8e070df03bc4cea343665e11"
"orangebird","Stu_a078f971abe49fa327484b84507971ee"
"orangebison","Stu_7a79196b0606b74e5aa387852fa5ce68"
"orangecat","Stu_011924479d5e1be392bb55cb21567c3f"
"orangedog","Stu_4a4dc1cf9ecb255e0a496933fae6a541"
"orangedragon","Stu_5d44d028d141d7ee20d2ec2f8c071737"
"orangeduck","Stu_74d69ff42bec55f68bdc5e17d192edd0"
"orangeeagle","Stu_8985f41920ff8b801e1041239d57f381"
"orangefish","Stu_61e22dc6ae73faca73213273343483c3"
"orangefox","Stu_c13ed3f634bcd5fbaa970d14aeed0039"
"orangegoose","Stu_45338554653b99656f1ff939e0786cb6"
"orangehorse","Stu_a4e45658b36dcc1eb708299868f4bcf1"
"orangekoala","Stu_ed7ff80954e08130943eb51adce23478"
"orangelion","Stu_88b5a8853a66534b451228f665560d72"
"orangemonkey","Stu_25a468296f863f044d02e746e8c0d3de"
"orangemouse","Stu_f055134bcae1c1b76a3da7000777d218"
"orangeotter","Stu_581884f2c3e3a7f0cc31f43fb0a58d3f"
"orangeowl","Stu_4b90cf3dc7e7213d1c95dbff195a4b08"
"violetalpaca","Stu_5a63dda76c6125935bad48074c307658"
"violetbat","Stu_c6d8770fc00320528bebd05aab3d9a69"
"violetbear","Stu_33595b6040ff51e470fa2f80156a745f"
"violetbee","Stu_f8e738eeeda48b4a3ddf95ef9f7af912"
"violetbird","Stu_9e01e66da7d5d27e3861c69928ff6592"
"violetbison","Stu_3c3d511146fad19db4b08d2ecb35a835"
"violetcat","Stu_bf991c687178838040f5fb0dc6a7da12"
"violetdeer","Stu_5c0e5a4181221c2f26dfe23e581be661"
"violetdog","Stu_ae7b3cc968126dd507f1c8439271e0ce"
"violetdragon","Stu_a6d375d75081ceeff1a699e2892e1cc7"
"violetduck","Stu_8121874e3dd74a6e3f583961114cd5ac"
"violeteagle","Stu_e2dbbb1e34f2fff42d4f1d3fc9b6e6f1"
"violetfish","Stu_b8ecfd9404917afc2f1fde88aa3e9e9c"
"violetfox","Stu_c15eb1d4dc0ab4f6a2a9b8f55dacd852"
"violetgoose","Stu_c485cc5624f8b82814d23177ca64f4df"
"violethorse","Stu_91d60b51401a0677a30b0ea9a72a3d36"
"violetkoala","Stu_cff27271823abea5af5c937cb0140b3c"
"violetlion","Stu_f7e62ea1af2c97a904bc4a3ae868f74e"
"violetmonkey","Stu_a76d74fac0ec2cc440a3af3c100d85f3"
"violetotter","Stu_eb2a7f36ff4c28fde56fed33d268135a"
"yellowalpaca","Stu_86784a26a6082a540609643bb577bffb"
"yellowant","Stu_45a52f2b1270435d798498c760967d86"
"yellowbat","Stu_03cbefeff126eab919081d0a505555d0"
"yellowbee","Stu_8d26db6f4c2dd9da002183a64558fcdd"
"yellowbird","Stu_27cfb2841bdff6488f7cae13eb0a639a"
"yellowcat","Stu_7637cc59d53abd7f97715372a53c8a1e"
"yellowdeer","Stu_47e37d641fad4ab9416bd86de5e2eea2"
"yellowdog","Stu_ac964194a0201c04b42b142960040200"
"yellowdragon","Stu_4d5e4c0ed4b7ee7619560045d26ac68f"
"yellowduck","Stu_86d7cb3153651b145f14829a163b0ac1"
"yelloweagle","Stu_064567c1ccf2d7da2dfbcd94e7bb57a9"
"yellowfish","Stu_6466e4e9cb03bf7076ca3411270dbfae"
"yellowfox","Stu_aae2a43492c8c80638eb0515ca368e94"
"yellowkoala","Stu_705e9dc238cbbc0c9ad6ccf272c96e30"
"yellowlion","Stu_3ff5bc113ba758237ce537e66796fa03"
"yellowmonkey","Stu_ba951cf2152bd6ac94048394deae348f"
"yellowmouse","Stu_b0f953b46e84d968213f6047decc9f26"
"yellowotter","Stu_f1ac111cc6b87cb28e6543304996af04"
"yellowowl","Stu_c992081215add82db72899753ca5216a"
"violetant","Stu_1b58811bce4e1e0b46297dc353138a80"
"violetmouse","Stu_ffca8028e1a8ff3b68cb857f45f318d2"
"yellowbison","Stu_d7b6e648a3287812de902d4dfac4440a"
